Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98904 W71.25517	07-06-2018 15:00:36 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	56° true
Trackpoint	S34.98904 W71.25517	07-06-2018 15:00:42 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	162° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:00:48 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	286° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:00:54 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	0° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:00 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	275° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:06 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	209° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:12 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	10° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:18 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	254° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:24 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	145° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:30 (UTC-4)	198 m			0 m	0:00:06	0.2 kph	8° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:36 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	106° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:01:42 (UTC-4)	199 m			0 m	0:00:06	0.2 kph	58° true
Trackpoint	S34.98904 W71.25517	07-06-2018 15:01:48 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	97° true
Trackpoint	S34.98904 W71.25517	07-06-2018 15:01:54 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	184° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:02:00 (UTC-4)	198 m			0 m	0:00:06	0.2 kph	311° true
Trackpoint	S34.98904 W71.25517	07-06-2018 15:02:06 (UTC-4)	198 m			0 m	0:00:06	0.2 kph	152° true
Trackpoint	S34.98904 W71.25517	07-06-2018 15:02:12 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	226° true
Trackpoint	S34.98904 W71.25518	07-06-2018 15:02:18 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	288° true
Trackpoint	S34.98901 W71.25512	07-06-2018 15:02:24 (UTC-4)	199 m			6 m	0:00:06	4 kph	55° true
Trackpoint	S34.98891 W71.25498	07-06-2018 15:02:30 (UTC-4)	198 m			17 m	0:00:06	10 kph	50° true
Trackpoint	S34.98889 W71.25496	07-06-2018 15:02:36 (UTC-4)	198 m			2 m	0:00:06	1.3 kph	42° true
