Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:04 (UTC-4)	200 m			0 m	0:00:06	0.0 kph	132° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:10 (UTC-4)	200 m			0 m	0:00:06	0.0 kph	80° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:16 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	115° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:22 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	105° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:28 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	134° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:34 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	158° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:40 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	135° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:46 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	154° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	175° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:09:58 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	171° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:10:04 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	146° true
Trackpoint	S34.97725 W71.25651	08-07-2018 18:10:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	164° true
Trackpoint	S34.97725 W71.25651	08-07-2018 18:10:16 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	172° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:22 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	226° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:28 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	294° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:34 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	279° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:40 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	264° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:46 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	235° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:52 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	253° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:10:58 (UTC-4)	198 m			0 m	0:00:06	0.0 kph	270° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:11:04 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	268° true
Trackpoint	S34.97725 W71.25652	08-07-2018 18:11:10 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	253° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:16 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	202° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:22 (UTC-4)	198 m			0 m	0:00:06	0.0 kph	234° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:28 (UTC-4)	198 m			0 m	0:00:06	0.0 kph	248° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:34 (UTC-4)	198 m			0 m	0:00:06	0.0 kph	245° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:40 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	212° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:46 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	255° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:52 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	270° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:11:58 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	243° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:12:04 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	221° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:12:10 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	228° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:16 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	283° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:22 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	296° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:28 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	285° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:34 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	288° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:40 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	180° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:46 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	156° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:52 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	221° true
