Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 11 JUL 2018 11:00	11-07-2018 11:00:05 (UTC-4)	6:00:16	12.9 km	2 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98875 W71.25295	11-07-2018 11:06:05 (UTC-4)	201 m		17 m	0:00:06	10 kph	26° true
Trackpoint	S34.98857 W71.25290	11-07-2018 11:06:11 (UTC-4)	201 m		21 m	0:00:06	13 kph	13° true
Trackpoint	S34.98843 W71.25286	11-07-2018 11:06:17 (UTC-4)	201 m		16 m	0:00:06	10 kph	13° true
Trackpoint	S34.98841 W71.25286	11-07-2018 11:06:23 (UTC-4)	202 m		2 m	0:00:06	1.1 kph	359° true
Trackpoint	S34.98841 W71.25285	11-07-2018 11:06:29 (UTC-4)	202 m		0 m	0:00:06	0.3 kph	52° true
Trackpoint	S34.98841 W71.25285	11-07-2018 11:06:35 (UTC-4)	202 m		0 m	0:00:06	0.1 kph	184° true
Trackpoint	S34.98842 W71.25285	11-07-2018 11:06:41 (UTC-4)	202 m		1 m	0:00:06	0.3 kph	170° true
Trackpoint	S34.98842 W71.25286	11-07-2018 11:06:47 (UTC-4)	202 m		1 m	0:00:06	0.3 kph	226° true
Trackpoint	S34.98832 W71.25281	11-07-2018 11:06:53 (UTC-4)	202 m		12 m	0:00:06	7 kph	21° true
Trackpoint	S34.98822 W71.25276	11-07-2018 11:06:59 (UTC-4)	202 m		12 m	0:00:06	7 kph	22° true
Trackpoint	S34.98822 W71.25276	11-07-2018 11:07:05 (UTC-4)	202 m		0 m	0:00:06	0.1 kph	300° true
Trackpoint	S34.98820 W71.25273	11-07-2018 11:07:11 (UTC-4)	202 m		4 m	0:00:06	2 kph	54° true
Trackpoint	S34.98823 W71.25275	11-07-2018 11:07:17 (UTC-4)	202 m		4 m	0:00:06	2 kph	204° true
Trackpoint	S34.98838 W71.25279	11-07-2018 11:07:23 (UTC-4)	202 m		17 m	0:00:06	10 kph	195° true
Trackpoint	S34.98855 W71.25281	11-07-2018 11:07:29 (UTC-4)	202 m		19 m	0:00:06	11 kph	185° true
Trackpoint	S34.98865 W71.25276	11-07-2018 11:07:35 (UTC-4)	201 m		12 m	0:00:06	7 kph	159° true
Trackpoint	S34.98867 W71.25271	11-07-2018 11:07:41 (UTC-4)	200 m		6 m	0:00:06	3 kph	118° true
Trackpoint	S34.98866 W71.25264	11-07-2018 11:07:47 (UTC-4)	198 m		6 m	0:00:06	4 kph	74° true
Trackpoint	S34.98866 W71.25264	11-07-2018 11:07:53 (UTC-4)	199 m		0 m	0:00:06	0.3 kph	134° true
Trackpoint	S34.98865 W71.25264	11-07-2018 11:07:59 (UTC-4)	199 m		1 m	0:00:06	0.6 kph	27° true
Trackpoint	S34.98865 W71.25264	11-07-2018 11:08:05 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	289° true
Trackpoint	S34.98865 W71.25261	11-07-2018 11:08:11 (UTC-4)	199 m		2 m	0:00:06	1.4 kph	97° true
Trackpoint	S34.98866 W71.25246	11-07-2018 11:08:17 (UTC-4)	199 m		14 m	0:00:06	8 kph	94° true
Trackpoint	S34.98870 W71.25230	11-07-2018 11:08:23 (UTC-4)	199 m		15 m	0:00:06	9 kph	104° true
Trackpoint	S34.98873 W71.25216	11-07-2018 11:08:29 (UTC-4)	200 m		13 m	0:00:06	8 kph	107° true
Trackpoint	S34.98879 W71.25215	11-07-2018 11:08:35 (UTC-4)	200 m		6 m	0:00:06	4 kph	172° true
Trackpoint	S34.98879 W71.25216	11-07-2018 11:08:41 (UTC-4)	200 m		1 m	0:00:06	0.5 kph	210° true
